element_name,privacy_signature
Device owner,Forward()(Voice request)
Device owner,Forward()(App password)
Household user (guest/family),Forward()(Voice request 2)
Smart speaker app login,Anonymize(App password)(App password)
Keyword listener and signal processer,RestrictMultiple(Voice request 1,Voice request 2)(Voice data)
Determine playlist,RestrictSingle(CMD)(Playlist request)
Communication handeler,Anonymize(Voice data)(Voice data)
Third-party exposed service,RestrictMultiple(Voice data - CMD pair 1,Voice data - CMD pair 2)(Stats of Voice data - CMD pairs)
Authenticate Spotify user,RestrictSingle(Spotify password)(Token)
Smart speaker app login,Forward(Token)(Token)
Smart speaker app login,Forward(Password)(Password)
Smart speaker app login,Forward(WiFi ID)(WiFi ID)
Install app on phone,Forward(App,App)
RegisterSpeaker,Forward(Password)(Password)
RegisterSpeaker,Forward(WiFi DI)(WiFi ID)
Steaming API,Forward(Playlist request,Live stream)
AI speaker core process,Forward(Password)(Password)
AI speaker core process,Forward(WiFi ID)(WiFi ID)
AI speaker core process,Forward(CMD)(CMD)
AI speaker core process,Forward(Live stream)(Live stream)
AI speaker core process,RestrictSingle(CMD)(CMD)
Send interpreted command,Forward(Voice data)(Voice data)
Communication handeler,Forward(Voice data)(Voice data)
Communication handeler,Forward(CMD)(CMD)
Authenticate client,Forward(Request token,Token)
Communication handeler,Forward(Token)(Token)
Rules storage,Forward(Voice data - CMD pairs,Voice data - CMD pairs)
User storage,Forward(App password)(Login response)
Third-party partner (children.stories.com),Forward(Stats of Voice data - CMD pairs)()
Router,Forward(Password)()
Router,Forward(WiFi ID)()
Device owner,Forward(Live stream)()
Device owner,Forward(CMD response)()
Speaker storage,Forward(Password)()
Speaker storage,Forward(WiFi ID)()
Phone storage,Forward(App)()
Device owner,Forward()(Spotify password)
Device owner,Forward()(App password)
Device owner,Forward()(Voice request 1)
Household user (guest/family),Forward()(Voice request 1)
Speaker storage,Forward()(Password)
Speaker storage,Forward()(WiFi ID)
Phone storage,Forward()(Password)
Phone storage,Forward()(WiFi ID)
App store,Forward()(App)
